title,location,posted_date,salary_annual,skill
ServiceNow Business Analyst,United States,2023-07-22 04:26:40,,Communication
ServiceNow Business Analyst,United States,2023-07-22 04:26:40,,AWS
ServiceNow Business Analyst,United States,2023-07-22 04:26:40,,Azure
Data Analyst,United States,2023-07-22 04:26:40,,SQL
Data Analyst,United States,2023-07-22 04:26:40,,Communication
Data Analyst,United States,2023-07-22 04:26:40,,Azure
Senior Data Engineer,"Chicago, IL",2023-07-22 04:26:40,117500.0,Python
Senior Data Engineer,"Chicago, IL",2023-07-22 04:26:40,117500.0,SQL
Senior Data Engineer,"Chicago, IL",2023-07-22 04:26:40,117500.0,ETL
Senior Data Engineer,"Chicago, IL",2023-07-22 04:26:40,117500.0,AWS
Senior Data Engineer,"Chicago, IL",2023-07-22 04:26:40,117500.0,Azure
Senior Data Engineer,"Atlanta, GA",2023-07-22 04:26:40,117500.0,Python
Senior Data Engineer,"Atlanta, GA",2023-07-22 04:26:40,117500.0,SQL
Senior Data Engineer,"Atlanta, GA",2023-07-22 04:26:40,117500.0,ETL
Senior Data Engineer,"Atlanta, GA",2023-07-22 04:26:40,117500.0,AWS
Senior Data Engineer,"Atlanta, GA",2023-07-22 04:26:40,117500.0,Azure
Data Scientists / AIML Engineer,"Charlotte, NC",2023-07-22 04:26:40,,Python
"Senior Vice President, Analytics (New Client)","Chicago, IL",2023-07-22 04:26:40,,Python
"Senior Vice President, Analytics (New Client)","Chicago, IL",2023-07-22 04:26:40,,SQL
"Senior Vice President, Analytics (New Client)","Chicago, IL",2023-07-22 04:26:40,,Tableau
"Senior Vice President, Analytics (New Client)","Chicago, IL",2023-07-22 04:26:40,,Excel
"Senior Vice President, Analytics (New Client)","Chicago, IL",2023-07-22 04:26:40,,Communication
"Senior Vice President, Analytics (New Client)","Chicago, IL",2023-07-22 04:26:40,,R
"Marketing Sciences, Data Scientist",United States,2023-07-22 04:26:40,,Machine Learning
"Marketing Sciences, Data Scientist",United States,2023-07-22 04:26:40,,Statistics
